id,section_number,section_short,subsection,question,answer,school,location,source,last_updated
VGWS-FAQ-023,1,Academics / IB Continuum,1D. IB Diploma Programme (IBDP) — Ages 16 to 19 (Grade 11 -- 12),How is the IBDP different from other senior-secondary programmes?,"At Vishwashanti Gurukul World School (VGWS), The DP combines academic rigour with global awareness and holistic development through its core — Theory of Knowledge (TOK), the Extended Essay (EE), and Creativity, Activity, Service (CAS) — alongside six subject groups, preparing students for university through independent, critical thinking rather than rote preparation for a single exam, IBDP also offers combinations of subjects such as Business + Humanities, Science + Business, Technology + Business etc.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-024,1,Academics / IB Continuum,1D. IB Diploma Programme (IBDP) — Ages 16 to 19 (Grade 11 -- 12),What is the Extended Essay (EE)?,"It is a 4,000-word independent research paper on a topic the student selects with teacher guidance, building university-level research and writing skills. It is externally assessed and contributes to the final IB score — VGWS's AY2025-26 cohort produced 11 Grade-A Extended Essays.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-025,1,Academics / IB Continuum,1D. IB Diploma Programme (IBDP) — Ages 16 to 19 (Grade 11 -- 12),What is Theory of Knowledge (TOK)?,"At Vishwashanti Gurukul World School (VGWS) TOK explores how we know what we know, connecting learning across subjects to real-world questions of bias, evidence and knowledge frameworks. It includes an oral presentation and a final essay, and develops the kind of critical, cross-disciplinary thinking universities value.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-026,1,Academics / IB Continuum,1D. IB Diploma Programme (IBDP) — Ages 16 to 19 (Grade 11 -- 12),What is CAS and why does it matter?,"At Vishwashanti Gurukul World School (VGWS) CAS — Creativity, Activity, Service — is a core DP requirement that keeps students engaged outside the classroom through creative pursuits, physical activity and genuine community service, building empathy, leadership and teamwork alongside academic rigour.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-027,1,Academics / IB Continuum,1D. IB Diploma Programme (IBDP) — Ages 16 to 19 (Grade 11 -- 12),"How is the DP assessed, and what is the maximum score?","Each of the six subjects is scored out of 7, and TOK plus the EE together contribute up to 3 additional points, for a maximum possible score of 45. Results are released each July. VGWS's AY2025-26 average of 31.08 sits meaningfully above the global IB average.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-028,1,Academics / IB Continuum,1D. IB Diploma Programme (IBDP) — Ages 16 to 19 (Grade 11 -- 12),"Can DP students still be involved in sports, arts and leadership?","Yes At Vishwashanti Gurukul World School (VGWS) — this is encouraged and structured through CAS. VGWS DP students continue as athletes / Sports, performing artists and student leaders throughout the two-year programme, with coordinators and counsellors helping them balance workload.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-029,1,Academics / IB Continuum,1D. IB Diploma Programme (IBDP) — Ages 16 to 19 (Grade 11 -- 12),What support does VGWS provide throughout the DP journey?,"A dedicated DP Coordinator oversees student progress, subject teachers provide ongoing academic guidance, and wellness and career counselors support emotional wellbeing and future planning — backed by regular parent updates and workshops on research and exam skills.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-030,1,Academics / IB Continuum,1D. IB Diploma Programme (IBDP) — Ages 16 to 19 (Grade 11 -- 12),Is IB recognised by Indian and global universities?,"Yes. At Vishwashanti Gurukul World School (VGWS) The Association of Indian Universities (AIU) rates the IB Diploma at the same level as Class 12 CBSE, ICSE, NIOS or State Board qualifications, and the IB Diploma is recognised by universities in over 110 countries — including for entry to highly competitive institutions worldwide. Many European universities require the full Diploma, and IB Higher Level courses are broadly considered equivalent to UK A-Levels and US Advanced Placement (AP) courses.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-031,1,Academics / IB Continuum,1D. IB Diploma Programme (IBDP) — Ages 16 to 19 (Grade 11 -- 12),Can a student take individual DP subjects without doing the full diploma?,"Yes At Vishwashanti Gurukul World School (VGWS) — students may take individual DP course certificates rather than the full diploma. This offers flexibility for students who want the academic challenge without the complete CAS/TOK/EE core, and universities do recognise individual DP course certificates.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-032,1,Academics / IB Continuum,1E. IB Career-related Programme (IBCP) — Ages 16 to 19 (Grade 11 -- 12),What is the IB Career-related Programme (IBCP) at VGWS?,"The IBCP combines two or more DP-level academic subjects with a career-related study and a practical core, giving students an academically rigorous pathway that is directly linked to a career interest — an alternative to the full Diploma for students with a clearer vocational or professional direction.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-033,1,Academics / IB Continuum,1E. IB Career-related Programme (IBCP) — Ages 16 to 19 (Grade 11 -- 12),How is IBCP different from the IBDP?,"At Vishwashanti Gurukul World School (VGWS), While the IBDP requires six subjects plus TOK, EE and CAS, the IBCP requires only two or more DP subjects alongside a dedicated career-related study and the CP core (Personal & Professional Skills, Service Learning, Reflective Project and a Language Development component), making it a more applied, career-anchored pathway while retaining the IB's academic standards.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-034,1,Academics / IB Continuum,1E. IB Career-related Programme (IBCP) — Ages 16 to 19 (Grade 11 -- 12),Who is the IBCP best suited for?,"Students who have a clearer sense of the professional or vocational field they want to pursue — business, design, technology, media, hospitality and similar fields — and want an academically rigorous but more applied pathway than the full IBDP.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-035,1,Academics / IB Continuum,1E. IB Career-related Programme (IBCP) — Ages 16 to 19 (Grade 11 -- 12),Does the IBCP still lead to good university placement?,"Yes At Vishwashanti Gurukul World School (VGWS) — IBCP graduates carry an internationally recognised IB credential and a demonstrated career-related specialisation, which many universities and applied/professional degree programmes value highly, especially in vocationally aligned fields.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-036,1,Academics / IB Continuum,1E. IB Career-related Programme (IBCP) — Ages 16 to 19 (Grade 11 -- 12),When did VGWS launch the IBCP?,"VGWS has authorised and launched the IB Career-related Programme for the AY2026-27 academic year, extending its full IB continuum offering — PYP, MYP, DP and now CP — on a single residential campus.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-037,1,Academics / IB Continuum,1E. IB Career-related Programme (IBCP) — Ages 16 to 19 (Grade 11 -- 12),"What does the CP core (Reflective Project, Service Learning, PPS) involve?","The Reflective Project is an in-depth research project examining an ethical dilemma linked to the career-related study; Service Learning develops community engagement and social responsibility; and Personal & Professional Skills (PPS) builds practical competencies like communication, self-management and career-readiness skills.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-038,1,Academics / IB Continuum,1E. IB Career-related Programme (IBCP) — Ages 16 to 19 (Grade 11 -- 12),Can a student switch between IBDP and IBCP?,"Transfers are possible but are smoothest early in Grade 11, before subject choices are locked in. The school's coordinators assess subject credit and readiness before supporting any mid-programme transition, since the two pathways have different core requirements.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-039,2,Boarding & Pastoral Care,2A. Boarding Room Facilities & Living Arrangements,What boarding room options does it offer?,"At Vishwashanti Gurukul World School (VGWS) offers both AC and Non-AC boarding room categories, giving families a choice based on preference and budget, with every room maintained to a consistent premium hygiene and student-usability standard regardless of category.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-040,2,Boarding & Pastoral Care,2A. Boarding Room Facilities & Living Arrangements,How many students share a boarding room?,"At Vishwashanti Gurukul World School (VGWS) Boarding rooms are designed for 4--5 students sharing, striking a balance between fostering peer community and friendship-building while still allowing enough personal space for study, rest and belongings.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-041,2,Boarding & Pastoral Care,2A. Boarding Room Facilities & Living Arrangements,What hygiene and amenity standards are maintained in the boarding rooms?,"Boarding rooms and shared washroom/common areas are maintained to a premium, elite-standard hygiene benchmark, with regular housekeeping, well-maintained student-usability areas with storage cupboard, Book shelf, study space, dressing table, new bedsheet & Blanket set, Laundry, shoe rack washroom access and consistent upkeep expected of a residential campus serving Indian and International Premium Elite families.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-042,2,Boarding & Pastoral Care,2A. Boarding Room Facilities & Living Arrangements,From what grade/age can a child join as a boarder?,"At Vishwashanti Gurukul World School (VGWS), Boarding is available from Grade 1 (around age 6) onward. Nursery and Kindergarten children are enrolled as day scholars only, transitioning to boarding eligibility once they reach Grade 1.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-043,2,Boarding & Pastoral Care,2A. Boarding Room Facilities & Living Arrangements,Which boarding house will my child be placed in?,"At Vishwashanti Gurukul World School (VGWS) Placement follows grade and age band: Bharadwaj houses Grades 1--7 (ages 6--12), Kashyapa houses Grades 8--9 (ages 13--15), Jamadagni houses Grades 10--12 (ages 15--18), and Vashistha spans Grades 3--12 (ages 8--18). Each house is led by a dedicated House Master and House Parent team.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-044,2,Boarding & Pastoral Care,2A. Boarding Room Facilities & Living Arrangements,Are boarding facilities separate for boys and girls?,"Yes. VGWS provides separate, secure hostel facilities for male and female students, each managed by dedicated resident faculty to ensure a safe, disciplined and nurturing environment appropriate to each group.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-045,2,Boarding & Pastoral Care,2A. Boarding Room Facilities & Living Arrangements,What is the food and dining arrangement for boarders?,"At Vishwashanti Gurukul World School (VGWS) Boarders eat at the school's Central Refectory, which provides healthy, balanced meals tailored to support student wellbeing and nutrition, with the weekly menu published for parent visibility.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-046,2,Boarding & Pastoral Care,"2B. Parent Connect, Transparency & Communication",How often can boarding students speak to their parents?,"At Vishwashanti Gurukul World School (VGWS) maintains structured daily call time for boarding students to connect with parents, ensuring consistent day-to-day contact rather than leaving communication informal or infrequent.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-047,2,Boarding & Pastoral Care,"2B. Parent Connect, Transparency & Communication",Is there video calling for boarding families?,"Yes At Vishwashanti Gurukul World School (VGWS) — in addition to daily voice call time, VGWS schedules weekly video call time specifically to nurture the emotional bonding and family connection that boarding students need, recognising that seeing a child's face matters as much as hearing their voice, especially for NRI and out-of-city families.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-048,2,Boarding & Pastoral Care,"2B. Parent Connect, Transparency & Communication",Why does VGWS emphasize transparency in boarding communication?,"Distance is one of the biggest anxieties for boarding parents, particularly NRI and pan-India families. VGWS's structured daily-call and weekly-video-call cadence is built specifically to keep that distance from becoming disconnected, giving parents consistent, predictable visibility into their child's wellbeing rather than sporadic updates.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-049,2,Boarding & Pastoral Care,"2B. Parent Connect, Transparency & Communication",Can parents visit their child at the boarding house?,"Yes At Vishwashanti Gurukul World School (VGWS) — parents are welcome to visit within the school's visitation and campus-visit framework, and the school's structured communication cadence (daily calls, weekly video calls) is designed to complement, not replace, in-person visits during breaks and scheduled visiting periods but only after approval of post informal invite confirmation by house parent in terms of security concern.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-050,2,Boarding & Pastoral Care,"2B. Parent Connect, Transparency & Communication",How does the school keep NRI parents in different time zones connected?,"At Vishwashanti Gurukul World School (VGWS) The daily call and weekly video call structure is scheduled with flexibility to accommodate family needs, and is supplemented by house parent and school updates, so that families abroad are never left without a predictable communication touchpoint despite time-zone differences.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-051,2,Boarding & Pastoral Care,"2C. Safety, Security & 24/7 Supervision",What safety and security systems does VGWS maintain in boarding?,"VGWS runs a 24/7, three-layer safety and security framework: (1) perimeter and campus-wide security across the 125-acre grounds, (2) CCTV-monitored building and boarding-block access control, and (3) round-the-clock, floor-level pastoral supervision by house parents, wardens, attendants and Didi support within each boarding block — so safety operates at the physical, monitored and human-presence level simultaneously.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-052,2,Boarding & Pastoral Care,"2C. Safety, Security & 24/7 Supervision",Is CCTV monitoring in place across the boarding houses?,"Yes At Vishwashanti Gurukul World School (VGWS) — CCTV monitoring is part of the layered security framework covering boarding blocks and common areas, working alongside on-ground human supervision rather than replacing it.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
VGWS-FAQ-053,2,Boarding & Pastoral Care,"2C. Safety, Security & 24/7 Supervision",Who supervises students on each boarding floor day-to-day?,"At Vishwashanti Gurukul World School (VGWS) Each boarding block has a house parent, warden, attendant and Didi support present on the floor around the clock, with a House Master overseeing the block 24/7 — meaning students are never without an identifiable, responsible adult on their floor at any hour.",Vishwashanti Gurukul World School (VGWS),"Pune, Maharashtra, India",VGWS Master FAQ Bank (mitgurukul.com; VGWS press release & PR archive; official social channels),2026-08
