id,fact,source_document,section,page,evidence,confidence,category
F040,"The institution operates under a No Objection Certificate (NOC) for the IB curriculum issued by the School Education and Sports Department, Government of Maharashtra.",Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 3.1,2,No Objection Certificate,1.0,regulatory
F041,The NOC reference number is NOC-4023/C.R.No.263/SM-3.,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 3.1,2,NOC Reference Number,1.0,regulatory
F042,"The NOC was issued on January 12, 2024 and expires on January 11, 2027 (valid for three years).",Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 3.1,2,Issuance Date; Expiration Date,1.0,regulatory
F043,"NOC Condition 1: Adherence to Sections 18 and 19 of the Right of Children to Free and Compulsory Education Act, 2009.",Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 3.2,2,RTE General Compliance,1.0,regulatory
F044,"NOC Condition 2: Strict adherence to Section 12(1)(C) of the RTE Act, 2009 and Maharashtra RTE Rules 2011 (reserved seats).",Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 3.2,2,RTE Reserved Seats,1.0,regulatory
F045,"NOC Condition 3: Mandatory integration of 'Divyang' (Special Needs) students in every class, per Resolution No. Mise 2015/(119-A)/SD-6 dated 8th January 2016.",Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 3.2,2,Inclusive Education,1.0,regulatory
F046,"NOC Condition 4: Compliance with all state Educational Acts, Rules, and Policies issued periodically.",Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 3.2,2,Statutory Integration,1.0,regulatory
F047,NOC Condition 5: Mandatory use of State Board or respective Board curriculum for Standard I to VIII.,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 3.2,2,Basic Curriculum,1.0,regulatory
F048,NOC Condition 6: Compulsory instruction of the Marathi language as a subject from Standard I to X.,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 3.2,2,Language Mandate,1.0,regulatory
F049,"NOC Condition 7: Staff salaries must meet or exceed Schedule 'C' of the Maharashtra Employees of Private Schools (Conditions of Service) Regulation Act, 1981.",Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 3.2,2,Staff Compensation,1.0,regulatory
F050,"NOC Condition 8: Compliance with traffic/safety guidelines and fire protection codes per the National Building Code of India, Part-IV Fire 1997.",Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 3.2,2,Safety & Infrastructure,1.0,regulatory
F051,"NOC Condition 9: Mandatory conduct of 3 tests annually for students up to Standard VIII, with achievement data recorded in the SARAL database.",Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 3.2,2,Assessment Standards,1.0,regulatory
F052,NOC Condition 10: Regular child-wise data entry into SARAL and U-DISE as demanded by State Authorities.,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 3.2,2,Information Reporting,1.0,regulatory
F053,"NOC Condition 11: Compliance with the Maharashtra Educational Institutions (Regulation of Fees) Act, 2011.",Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 3.2,2,Fee Regulation,1.0,regulatory
F054,NOC Condition 12: Compulsory teaching of Indian History and specifically History related to Maharashtra.,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 3.2,2,Historical Instruction,1.0,regulatory
F055,NOC Condition 13: Formation of a Complaint Redressal Committee per the Woman and Child Department government resolution dated 19.6.2014.,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 3.2,3,Harassment Redressal,1.0,regulatory
F056,NOC Condition 14: The fee structure must be published on the official Government RTE portal.,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 3.2,3,Fiscal Transparency,1.0,regulatory
F057,NOC Condition 15: Compulsory entry of student Aadhar Numbers into the SARAL portal.,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 3.2,3,Student Identification,1.0,regulatory
F058,NOC Condition 16: The State retains the right to withdraw the NOC at any time without notice for rule deviation.,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 3.2,3,State Authority,1.0,regulatory
F059,NOC Condition 17: Binding requirement to implement CBSE/ICSE/other board syllabi step-by-step if future affiliation is intended.,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 3.2,3,Affiliation Transitions,1.0,regulatory
F060,"Safety compliance follows guidelines from Police, Fire Services, and the Transport Department.",Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 6-Misc Q1,6,"Police, Fire Services, Transport",1.0,regulatory
F070,"AY 2022-23: At the 24th World Education Summit (Hyderabad), the school received the 'Excellence in International Curriculum Practices' award.",Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 4.1,3,Excellence in International Curriculum Practices,1.0,awards
F071,The 2022 Hyderabad award was received by Mr. Udayan Verma (Head of Admissions and Outreach).,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 4.1,3,received by Mr. Udayan Verma,1.0,awards
F072,"The 2022 Hyderabad award was presented by Mr. Augus P Saptoo (Consul General of Indonesia) and Shri Navin Mittal (Commissioner, Collegiate and Technical Education, Telangana).",Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 4.1,3,dignitaries,1.0,awards
F073,AY 2022-23: Silicon India recognized the school among the 'Top 10 Most Promising Residential Schools' in India.,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 4.1,3,Top 10 Most Promising Residential Schools,1.0,awards
F074,AY 2023-24: Education World India School Rankings ranked the school No. 4 in India and No. 2 in Maharashtra (International Residential Schools category).,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 4.2,3,No. 4 in India; No. 2 in Maharashtra,1.0,awards
F075,AY 2023-24: Insight Success featured the school as a 'Place for modern value education'.,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 4.2,3,Insight Success feature,1.0,awards
F076,"AY 2023-24: National Geographic (NATGEO) selected the school for an exclusive showcase titled 'The Future School', highlighting visionary educational approaches.",Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 4.2,3,NATGEO The Future School,1.0,awards
F077,AY 2024-25: Education World awarded the school the title 'School of the Year 2024-25' for excellence in academic brilliance and student well-being.,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 4.3,3,School of the Year 2024-25,1.0,awards
F078,AY 2024-25: E News Network conferred the 'Dynamic Schools 2024' award at the Maharashtra Educators' Summit & Awards.,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 4.3,3,Dynamic Schools 2024,1.0,awards
F079,The 'Dynamic Schools 2024' award recognizes exemplary contribution to education in Maharashtra.,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 6-Accolades Q9,6,exemplary contribution,1.0,awards
F080,AY 2025-26: Education Today Merit Awards ranked the school No. 2 in Maharashtra and No. 2 in Pune (Boarding Schools category).,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 4.4,3,Education Today Merit Awards,1.0,awards
F081,AY 2025-26: Education World India School Rankings ranked the school No. 4 in India and No. 1 in Maharashtra (International Residential Schools category).,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 4.4,3,No. 1 position in Maharashtra,1.0,awards
F082,"AY 2025-26: The New Age Summit 2026 conferred the ""Best India's International Day and Residential School"" award.",Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 4.4,3,New Age Summit 2026,1.0,awards
F090,Official YouTube channel: www.youtube.com/@Mitgurukulpune,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 5,3,Official YouTube,1.0,social
F091,Official Facebook page: https://www.facebook.com/share/1DMrmpAAGJ/,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 5,3,Official Facebook,1.0,social
F092,Official Instagram: https://www.instagram.com/mitgurukulofficial,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 5,4,Official Instagram,1.0,social
F093,LinkedIn professional profile: https://www.linkedin.com/in/mit-vishwashanti-gurukul-8a3460218,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 5,4,LinkedIn Professional Profile,1.0,social
F094,LinkedIn institutional page: https://www.linkedin.com/company/mitgurukulofficial/,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 5,4,LinkedIn Institutional Page,1.0,social
F095,Official X (Twitter): https://x.com/MITGurukulOff,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 5,4,Official X (Twitter),1.0,social
F100,All data points in the master document are derived exclusively from the provided source context; no external geographical data or unverified rankings were included.,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 8,7,Anti-Hallucination Guardrails,1.0,governance
F101,All rankings in the master document are categorized by school category as per official records.,Vishwashanti Gurukul World School: Comprehensive Master Source of Truth (2022-2026),Section 8,7,categorized by school category,1.0,governance
